Make,Model,Engine_Size_L_x,Cylinders_x,Transmission_x,CO2_Canada,Year,Engine_Size_L_y,Cylinders_y,Transmission_y,CO2_US
SUBARU,FORESTER AWD,2.5,4,AV,198,2025,2.5,4,Auto(AV-S8),310
SUBARU,FORESTER AWD,2.5,4,M6,223,2025,2.5,4,Auto(AV-S8),310
SUBARU,OUTBACK AWD,2.5,4,AV,207,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,AV,207,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,2.5,4,M6,225,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,M6,225,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,3.6,6,AS5,269,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,3.6,6,AS5,269,2025,2.5,4,Auto(AV-S8),314
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),417
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),415
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),380
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),380
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV-S10),265
TOYOTA,HIGHLANDER,2.7,4,AS6,237,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,2.7,4,AS6,237,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER,3.5,6,AS6,258,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,3.5,6,AS6,258,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER AWD,3.5,6,AS6,264,2025,2.4,4,Auto(S8),371
TOYOTA,HIGHLANDER HYBRID AWD,3.5,6,AV6,191,2025,2.5,4,Auto(AV-S6),254
TOYOTA,PRIUS,1.8,4,AV,110,2025,2.0,4,Auto(AV),155
TOYOTA,RAV4,2.5,4,AS6,205,2025,2.5,4,Auto(S8),292
TOYOTA,RAV4 AWD,2.5,4,AS6,216,2025,2.5,4,Auto(S8),320
TOYOTA,RAV4 AWD,2.5,4,AS6,216,2025,2.5,4,Auto(S8),301
TOYOTA,SEQUOIA 4WD,5.7,8,AS6,384,2025,3.4,6,Auto(S10),439
TOYOTA,SIENNA,3.5,6,AS6,260,2025,2.5,4,Auto(AV-S6),246
TOYOTA,SIENNA AWD,3.5,6,AS6,285,2025,2.5,4,Auto(AV-S6),253
TOYOTA,TACOMA 4WD,2.7,4,A4,274,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,2.7,4,M5,271,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,4.0,6,A5,306,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,4.0,6,M6,322,2025,2.4,4,Auto(S8),424
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),468
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),460
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),439
TOYOTA,TUNDRA 4WD,5.7,8,AS6,373,2025,3.4,6,Auto(S10),468
TOYOTA,TUNDRA 4WD,5.7,8,AS6,373,2025,3.4,6,Auto(S10),460
TOYOTA,TUNDRA 4WD,5.7,8,AS6,373,2025,3.4,6,Auto(S10),439
BMW,M3 SEDAN,3.0,6,AM7,278,2025,3.0,6,Manual(M6),472
BMW,M3 SEDAN,3.0,6,M6,267,2025,3.0,6,Manual(M6),472
BMW,M4 COUPE,3.0,6,AM7,278,2025,3.0,6,Manual(M6),472
BMW,M4 COUPE,3.0,6,M6,267,2025,3.0,6,Manual(M6),472
BMW,X1 XDRIVE28I,2.0,4,AS8,209,2025,2.0,4,Auto(AM-S7),318
HONDA,ACCORD,2.4,4,AV,179,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV,179,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,AV7,184,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV7,184,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,M6,200,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,M6,200,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,A6,209,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,A6,209,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,AS6,219,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,AS6,219,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,M6,251,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,M6,251,2025,2.0,4,Auto(AV),184
HONDA,CR-V AWD,2.4,4,AV,191,2025,1.5,4,Auto(AV),312
HONDA,CR-V AWD,2.4,4,AV,191,2025,2.0,4,Auto(AV),237
HYUNDAI,ELANTRA,1.8,4,AS6,172,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,1.8,4,AS6,172,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,ELANTRA,1.8,4,M6,177,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,1.8,4,M6,177,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,ELANTRA,2.0,4,AS6,191,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,2.0,4,AS6,191,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,ELANTRA,2.0,4,M6,196,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,2.0,4,M6,196,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,SANTA FE AWD,3.3,6,AS6,264,2025,2.5,4,Auto(AM-S8),390
HYUNDAI,SONATA HYBRID,2.4,4,AS6,145,2025,2.0,4,Auto(AM-S6),188
HYUNDAI,TUCSON AWD,2.0,4,AS6,239,2025,2.5,4,Auto(S8),339
HYUNDAI,TUCSON AWD,2.4,4,AS6,244,2025,2.5,4,Auto(S8),339
KIA,SORENTO AWD,2.4,4,AS6,251,2025,2.5,4,Auto(AM-S8),389
KIA,SORENTO AWD,2.4,4,AS6,251,2025,2.5,4,Auto(S8),357
KIA,SORENTO AWD,3.3,6,AS6,271,2025,2.5,4,Auto(AM-S8),389
KIA,SORENTO AWD,3.3,6,AS6,271,2025,2.5,4,Auto(S8),357
KIA,SOUL,1.6,4,AS6,205,2025,2.0,4,Auto(AV),302
KIA,SOUL,1.6,4,M6,207,2025,2.0,4,Auto(AV),302
KIA,SOUL,2.0,4,AS6,207,2025,2.0,4,Auto(AV),302
KIA,SOUL ECO DYNAMICS,2.0,4,AS6,202,2025,2.0,4,Auto(AV),287
KIA,SPORTAGE AWD,2.0,4,AS6,260,2025,2.5,4,Auto(S8),361
KIA,SPORTAGE AWD,2.4,4,AS6,246,2025,2.5,4,Auto(S8),361
